contrast,cover_value,n_runs,median,lower,upper,cover_label
PF − SF[i],0.25,7,-4.04297971444976,-5.13224048854863,-0.227713827204298,25% forest cover
PF − SF[i],0.25,8,-3.83881053524897,-5.05638863678347,-1.10312270315444,25% forest cover
PF − SF[i],0.25,9,-4.04297971444976,-5.01077961498368,-0.282807667763791,25% forest cover
PF − SF[i],0.25,10,-3.85011183800635,-5.02191662847484,-1.45754993848965,25% forest cover
PF − SF[i],0.25,11,-3.72322552136484,-5.01077961498368,-2.29117746709835,25% forest cover
PF − SF[i],0.25,12,-3.83881053524897,-4.95833378061048,-2.30978516008463,25% forest cover
PF − SF[i],0.25,13,-3.72322552136484,-4.94261105554503,-2.29117746709835,25% forest cover
PF − SF[i],0.25,14,-3.83314887620236,-4.87815425179043,-2.40174995568859,25% forest cover
PF − SF[i],0.25,15,-3.72322552136484,-4.8154453598163,-2.69613258162417,25% forest cover
PF − SF[i],0.25,16,-3.8831026179073,-4.71713008907039,-2.49365502436126,25% forest cover
PF − SF[i],0.25,17,-4.04297971444976,-4.8154453598163,-2.69613258162417,25% forest cover
PF − SF[i],0.25,18,-3.8831026179073,-4.65442119709627,-2.75260308229145,25% forest cover
PF − SF[i],0.25,19,-4.04297971444976,-4.8154453598163,-2.69613258162417,25% forest cover
PF − SF[i],0.25,20,-3.8831026179073,-4.65442119709627,-2.75260308229145,25% forest cover
PF − SF[i],0.25,21,-4.04297971444976,-4.53790792042082,-2.80907358295872,25% forest cover
PF − SF[i],0.25,22,-3.8831026179073,-4.51508182501334,-2.84692594957756,25% forest cover
PF − SF[i],0.25,23,-4.04297971444976,-4.49225572960586,-2.88477831619639,25% forest cover
PF − SF[i],0.25,24,-3.8831026179073,-4.51508182501334,-3.03412551937876,25% forest cover
PF − SF[i],0.25,25,-4.04297971444976,-4.49225572960586,-3.17785066527469,25% forest cover
PF − SF[i],0.25,26,-3.8831026179073,-4.48659407055925,-3.03507182854424,25% forest cover
PF − SF[i],0.25,27,-4.04297971444976,-4.48093241151264,-3.18536534089208,25% forest cover
PF − SF[i],0.25,28,-3.8831026179073,-4.2619560629812,-3.45429543112846,25% forest cover
PF − SF[i],0.25,29,-4.04297971444976,-4.04297971444976,-3.72322552136484,25% forest cover
PF − SF[i],0.25,30,-3.8831026179073,-3.8831026179073,-3.8831026179073,25% forest cover
PF − SF[i],0.5,2,-1.13449739015243,-4.47398525206449,2.66734319932163,50% forest cover
PF − SF[i],0.5,3,-1.40189375553155,-4.20701308559228,2.18210010794019,50% forest cover
PF − SF[i],0.5,4,-1.29107442870622,-3.72070627849962,1.83454714672334,50% forest cover
PF − SF[i],0.5,5,-1.40189375553155,-3.7816812356598,1.47448648283626,50% forest cover
PF − SF[i],0.5,6,-1.346416360979,-3.41729883420153,1.31124533316779,50% forest cover
PF − SF[i],0.5,7,-1.38508762415177,-3.45813060702085,1.28858175877531,50% forest cover
PF − SF[i],0.5,8,-1.346416360979,-3.22612966612349,1.04776767206392,50% forest cover
PF − SF[i],0.5,9,-1.40189375553155,-3.00219439989086,0.85341840762758,50% forest cover
PF − SF[i],0.5,10,-1.3943257642934,-3.17876469018582,0.786938548357284,50% forest cover
PF − SF[i],0.5,11,-1.40189375553155,-2.99050372791317,0.806814188647422,50% forest cover
PF − SF[i],0.5,12,-1.40272882998329,-2.83411340533144,0.55664984422191,50% forest cover
PF − SF[i],0.5,13,-1.40189375553155,-2.83739934721052,0.806814188647422,50% forest cover
