permutation,n_runs,estimate,contrast,cover_value
17,9,6.37236936820955,PF − SF[e],0.25
17,10,5.46230856760576,PF − SF[e],0.25
17,11,5.67665634723653,PF − SF[e],0.25
17,12,6.02451285772304,PF − SF[e],0.25
17,13,5.67665634723653,PF − SF[e],0.25
17,14,5.11445205711925,PF − SF[e],0.25
17,15,4.55224776700197,PF − SF[e],0.25
17,16,5.01777265683495,PF − SF[e],0.25
17,17,4.55224776700197,PF − SF[e],0.25
17,18,4.20864076308863,PF − SF[e],0.25
17,19,4.55224776700197,PF − SF[e],0.25
17,20,4.61700602338601,PF − SF[e],0.25
17,21,4.55224776700197,PF − SF[e],0.25
17,22,4.44389632865909,PF − SF[e],0.25
17,23,4.33554489031621,PF − SF[e],0.25
17,24,4.44389632865909,PF − SF[e],0.25
17,25,4.33554489031621,PF − SF[e],0.25
17,26,4.44389632865909,PF − SF[e],0.25
17,27,4.33554489031621,PF − SF[e],0.25
17,28,4.10028932474575,PF − SF[e],0.25
17,29,3.86503375917528,PF − SF[e],0.25
17,30,3.7387473526835,PF − SF[e],0.25
18,2,6.28553677728656,PF − SF[e],0.25
18,3,5.65534949074845,PF − SF[e],0.25
18,4,4.53756327392989,PF − SF[e],0.25
18,5,3.61246094619173,PF − SF[e],0.25
18,6,4.63390521847009,PF − SF[e],0.25
18,7,3.86503375917528,PF − SF[e],0.25
18,8,4.67416565292161,PF − SF[e],0.25
18,9,5.48329754666793,PF − SF[e],0.25
18,10,4.67416565292161,PF − SF[e],0.25
18,11,3.86503375917528,PF − SF[e],0.25
18,12,3.7387473526835,PF − SF[e],0.25
18,13,3.61246094619173,PF − SF[e],0.25
18,14,3.51611900165153,PF − SF[e],0.25
18,15,3.61246094619173,PF − SF[e],0.25
18,16,3.51611900165153,PF − SF[e],0.25
18,17,3.41977705711133,PF − SF[e],0.25
18,18,3.51611900165153,PF − SF[e],0.25
18,19,3.53263208882208,PF − SF[e],0.25
18,20,3.57254651750691,PF − SF[e],0.25
18,21,3.61246094619173,PF − SF[e],0.25
18,22,3.57254651750691,PF − SF[e],0.25
18,23,3.53263208882208,PF − SF[e],0.25
18,24,3.47620457296671,PF − SF[e],0.25
18,25,3.53263208882208,PF − SF[e],0.25
18,26,3.57254651750691,PF − SF[e],0.25
18,27,3.61246094619173,PF − SF[e],0.25
18,28,3.7387473526835,PF − SF[e],0.25
18,29,3.61246094619173,PF − SF[e],0.25
18,30,3.7387473526835,PF − SF[e],0.25
19,2,8.03511739648434,PF − SF[e],0.25
19,3,8.50682280645879,PF − SF[e],0.25
19,4,7.32466121135963,PF − SF[e],0.25
19,5,6.14249961626047,PF − SF[e],0.25
19,6,5.9095779817485,PF − SF[e],0.25
19,7,5.67665634723653,PF − SF[e],0.25
19,8,5.11445205711925,PF − SF[e],0.25
19,9,5.67665634723653,PF − SF[e],0.25
19,10,5.11445205711925,PF − SF[e],0.25
19,11,4.55224776700197,PF − SF[e],0.25
19,12,4.44389632865909,PF − SF[e],0.25
19,13,4.33554489031621,PF − SF[e],0.25
19,14,4.44389632865909,PF − SF[e],0.25
19,15,4.33554489031621,PF − SF[e],0.25
19,16,4.44389632865909,PF − SF[e],0.25
19,17,4.55224776700197,PF − SF[e],0.25
19,18,4.44389632865909,PF − SF[e],0.25
19,19,4.55224776700197,PF − SF[e],0.25
19,20,4.44389632865909,PF − SF[e],0.25
19,21,4.33554489031621,PF − SF[e],0.25
19,22,4.10028932474575,PF − SF[e],0.25
19,23,3.86503375917528,PF − SF[e],0.25
19,24,4.10028932474575,PF − SF[e],0.25
19,25,4.33554489031621,PF − SF[e],0.25
19,26,4.10028932474575,PF − SF[e],0.25
19,27,3.86503375917528,PF − SF[e],0.25
19,28,4.10028932474575,PF − SF[e],0.25
19,29,3.86503375917528,PF − SF[e],0.25
19,30,3.7387473526835,PF − SF[e],0.25
20,2,3.04615359120044,PF − SF[e],0.25
20,3,4.33554489031621,PF − SF[e],0.25
20,4,4.90942121849207,PF − SF[e],0.25
20,5,5.48329754666793,PF − SF[e],0.25
20,6,5.08253091321899,PF − SF[e],0.25
20,7,4.68176427977005,PF − SF[e],0.25
20,8,4.50865458504313,PF − SF[e],0.25
20,9,4.68176427977005,PF − SF[e],0.25
20,10,4.50865458504313,PF − SF[e],0.25
20,11,4.68176427977005,PF − SF[e],0.25
20,12,5.08253091321899,PF − SF[e],0.25
20,13,4.68176427977005,PF − SF[e],0.25
20,14,5.08253091321899,PF − SF[e],0.25
20,15,4.68176427977005,PF − SF[e],0.25
20,16,4.50865458504313,PF − SF[e],0.25
20,17,4.33554489031621,PF − SF[e],0.25
20,18,4.10028932474575,PF − SF[e],0.25
20,19,3.86503375917528,PF − SF[e],0.25
20,20,3.7387473526835,PF − SF[e],0.25
20,21,3.86503375917528,PF − SF[e],0.25
20,22,4.10028932474575,PF − SF[e],0.25
20,23,4.33554489031621,PF − SF[e],0.25
20,24,4.10028932474575,PF − SF[e],0.25
20,25,3.86503375917528,PF − SF[e],0.25
20,26,4.10028932474575,PF − SF[e],0.25
20,27,4.33554489031621,PF − SF[e],0.25
20,28,4.10028932474575,PF − SF[e],0.25
20,29,3.86503375917528,PF − SF[e],0.25
