response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,4,13,4.33554489031621,PF - SF[e],0.25,25% cover,3.7387473526835,0.596797537632705
Prec,Precipitation,mm,4,14,3.93408848956915,PF - SF[e],0.25,25% cover,3.7387473526835,0.19534113688564
Prec,Precipitation,mm,4,15,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,4,16,3.93408848956915,PF - SF[e],0.25,25% cover,3.7387473526835,0.19534113688564
Prec,Precipitation,mm,4,17,4.33554489031621,PF - SF[e],0.25,25% cover,3.7387473526835,0.596797537632705
Prec,Precipitation,mm,4,18,3.93408848956915,PF - SF[e],0.25,25% cover,3.7387473526835,0.19534113688564
Prec,Precipitation,mm,4,19,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,4,20,3.47620457296671,PF - SF[e],0.25,25% cover,3.7387473526835,-0.262542779716799
Prec,Precipitation,mm,4,21,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,4,22,3.93408848956915,PF - SF[e],0.25,25% cover,3.7387473526835,0.19534113688564
Prec,Precipitation,mm,4,23,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,4,24,3.93408848956915,PF - SF[e],0.25,25% cover,3.7387473526835,0.19534113688564
Prec,Precipitation,mm,4,25,3.86503375917528,PF - SF[e],0.25,25% cover,3.7387473526835,0.126286406491775
Prec,Precipitation,mm,4,26,4.10028932474575,PF - SF[e],0.25,25% cover,3.7387473526835,0.36154197206224
Prec,Precipitation,mm,4,27,4.33554489031621,PF - SF[e],0.25,25% cover,3.7387473526835,0.596797537632705
Prec,Precipitation,mm,4,28,4.10028932474575,PF - SF[e],0.25,25% cover,3.7387473526835,0.36154197206224
Prec,Precipitation,mm,4,29,3.86503375917528,PF - SF[e],0.25,25% cover,3.7387473526835,0.126286406491775
Prec,Precipitation,mm,4,30,3.7387473526835,PF - SF[e],0.25,25% cover,3.7387473526835,0
Prec,Precipitation,mm,5,2,3.81445876506791,PF - SF[e],0.25,25% cover,3.7387473526835,0.0757114123844049
Prec,Precipitation,mm,5,3,3.29337263981961,PF - SF[e],0.25,25% cover,3.7387473526835,-0.445374712863895
Prec,Precipitation,mm,5,4,1.93029145784271,PF - SF[e],0.25,25% cover,3.7387473526835,-1.80845589484079
Prec,Precipitation,mm,5,5,3.29337263981961,PF - SF[e],0.25,25% cover,3.7387473526835,-0.445374712863895
Prec,Precipitation,mm,5,6,2.43833509520732,PF - SF[e],0.25,25% cover,3.7387473526835,-1.30041225747619
Prec,Precipitation,mm,5,7,2.16728960134196,PF - SF[e],0.25,25% cover,3.7387473526835,-1.57145775134154
Prec,Precipitation,mm,5,8,2.73033112058079,PF - SF[e],0.25,25% cover,3.7387473526835,-1.00841623210272
Prec,Precipitation,mm,5,9,3.29337263981961,PF - SF[e],0.25,25% cover,3.7387473526835,-0.445374712863895
Prec,Precipitation,mm,5,10,2.73033112058079,PF - SF[e],0.25,25% cover,3.7387473526835,-1.00841623210272
Prec,Precipitation,mm,5,11,2.16728960134196,PF - SF[e],0.25,25% cover,3.7387473526835,-1.57145775134154
Prec,Precipitation,mm,5,12,2.73033112058079,PF - SF[e],0.25,25% cover,3.7387473526835,-1.00841623210272
Prec,Precipitation,mm,5,13,3.29337263981961,PF - SF[e],0.25,25% cover,3.7387473526835,-0.445374712863895
Prec,Precipitation,mm,5,14,3.35657484846547,PF - SF[e],0.25,25% cover,3.7387473526835,-0.382172504218035
Prec,Precipitation,mm,5,15,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,5,16,3.35657484846547,PF - SF[e],0.25,25% cover,3.7387473526835,-0.382172504218035
Prec,Precipitation,mm,5,17,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,5,18,3.51611900165153,PF - SF[e],0.25,25% cover,3.7387473526835,-0.222628351031974
Prec,Precipitation,mm,5,19,3.41977705711133,PF - SF[e],0.25,25% cover,3.7387473526835,-0.318970295572175
Prec,Precipitation,mm,5,20,3.51611900165153,PF - SF[e],0.25,25% cover,3.7387473526835,-0.222628351031974
Prec,Precipitation,mm,5,21,3.53263208882208,PF - SF[e],0.25,25% cover,3.7387473526835,-0.206115263861425
Prec,Precipitation,mm,5,22,3.57254651750691,PF - SF[e],0.25,25% cover,3.7387473526835,-0.1662008351766
Prec,Precipitation,mm,5,23,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,5,24,3.97400291825397,PF - SF[e],0.25,25% cover,3.7387473526835,0.235255565570465
Prec,Precipitation,mm,5,25,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,5,26,3.97400291825397,PF - SF[e],0.25,25% cover,3.7387473526835,0.235255565570465
Prec,Precipitation,mm,5,27,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,5,28,3.57254651750691,PF - SF[e],0.25,25% cover,3.7387473526835,-0.1662008351766
Prec,Precipitation,mm,5,29,3.61246094619173,PF - SF[e],0.25,25% cover,3.7387473526835,-0.126286406491775
Prec,Precipitation,mm,5,30,3.7387473526835,PF - SF[e],0.25,25% cover,3.7387473526835,0
Prec,Precipitation,mm,6,2,5.5270668239898,PF - SF[e],0.25,25% cover,3.7387473526835,1.7883194713063
Prec,Precipitation,mm,6,3,4.68176427977005,PF - SF[e],0.25,25% cover,3.7387473526835,0.943016927086545
Prec,Precipitation,mm,6,4,4.05077066844069,PF - SF[e],0.25,25% cover,3.7387473526835,0.312023315757186
