response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[e],0.75,75% cover,24,0,-1.26029976690754,0.894443907873608
Evapo,ET,mm,PF - SF[e],0.75,75% cover,25,0.502714857420401,-1.24525905082849,0.599620153402199
Evapo,ET,mm,PF - SF[e],0.75,75% cover,26,0,-1.23400076631469,0.596249234148445
Evapo,ET,mm,PF - SF[e],0.75,75% cover,27,-0.502714857420401,-1.22274248180089,0.592878314894705
Evapo,ET,mm,PF - SF[e],0.75,75% cover,28,0,-0.862728669610647,0.547796586157546
Evapo,ET,mm,PF - SF[e],0.75,75% cover,29,-0.502714857420401,-0.502714857420401,0.502714857420401
Evapo,ET,mm,PF - SF[e],0.75,75% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.25,25% cover,2,-0.293129368401047,-6.14507072037985,3.61556819158112
Evapo,ET,mm,PF - SF[i],0.25,25% cover,3,0.659043719235356,-5.55730314574745,3.19624104629885
Evapo,ET,mm,PF - SF[i],0.25,25% cover,4,-0.183273915835898,-4.06785384094828,3.07525993577097
Evapo,ET,mm,PF - SF[i],0.25,25% cover,5,0,-3.78243007716002,2.00067479117895
Evapo,ET,mm,PF - SF[i],0.25,25% cover,6,-0.30963090833005,-3.85615446932868,2.38397478193249
Evapo,ET,mm,PF - SF[i],0.25,25% cover,7,-0.659043719235356,-3.26541088931228,1.88790904849274
Evapo,ET,mm,PF - SF[i],0.25,25% cover,8,-0.327886696426027,-2.9969063190935,1.83837559236718
Evapo,ET,mm,PF - SF[i],0.25,25% cover,9,0.659043719235356,-2.74080408318075,1.88790904849274
Evapo,ET,mm,PF - SF[i],0.25,25% cover,10,-0.00555860531037666,-2.76386461099426,1.71466518765682
Evapo,ET,mm,PF - SF[i],0.25,25% cover,11,0.659043719235356,-2.74080408318075,1.67064478701855
Evapo,ET,mm,PF - SF[i],0.25,25% cover,12,0,-2.50776237508151,1.4636890604842
Evapo,ET,mm,PF - SF[i],0.25,25% cover,13,0.659043719235356,-2.59744697852625,1.53810790476454
Evapo,ET,mm,PF - SF[i],0.25,25% cover,14,0,-2.21949998907223,1.3927325766754
Evapo,ET,mm,PF - SF[i],0.25,25% cover,15,0.659043719235356,-2.26644563335294,1.24735724858625
Evapo,ET,mm,PF - SF[i],0.25,25% cover,16,0,-2.2140526476141,1.21555275953585
Evapo,ET,mm,PF - SF[i],0.25,25% cover,17,-0.659043719235356,-2.16427931116219,1.18533849493797
Evapo,ET,mm,PF - SF[i],0.25,25% cover,18,0,-1.9382862952469,1.21555275953585
Evapo,ET,mm,PF - SF[i],0.25,25% cover,19,0.659043719235356,-2.16165966187525,1.18374827048545
Evapo,ET,mm,PF - SF[i],0.25,25% cover,20,0,-1.88589330950805,1.11846653455191
Evapo,ET,mm,PF - SF[i],0.25,25% cover,21,0,-1.61012695714085,1.18374827048545
Evapo,ET,mm,PF - SF[i],0.25,25% cover,22,0,-1.88283761040139,1.0841726551173
Evapo,ET,mm,PF - SF[i],0.25,25% cover,23,0.659043719235356,-1.61012695714085,0.984597039749147
Evapo,ET,mm,PF - SF[i],0.25,25% cover,24,0,-1.60699290677505,0.9319506391056
Evapo,ET,mm,PF - SF[i],0.25,25% cover,25,0.659043719235356,-1.60385885640925,0.984597039749147
Evapo,ET,mm,PF - SF[i],0.25,25% cover,26,0,-1.58210059120765,0.929461248721395
Evapo,ET,mm,PF - SF[i],0.25,25% cover,27,-0.659043719235356,-1.56034232600605,0.874325457693644
Evapo,ET,mm,PF - SF[i],0.25,25% cover,28,0,-1.1096930226207,0.7666845884645
Evapo,ET,mm,PF - SF[i],0.25,25% cover,29,-0.659043719235356,-0.659043719235356,0.659043719235356
Evapo,ET,mm,PF - SF[i],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.5,50% cover,2,0.328933410421874,-2.75010713447876,3.03992937784067
Evapo,ET,mm,PF - SF[i],0.5,50% cover,3,-0.0123897704302003,-2.2278991259286,2.9031285587623
